,nitrogen,phosphorous,potassium,temperature,humidity,ph,rainfall
count,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
mean,50.20181818181818,52.99909090909091,48.872727272727275,25.361045690909094,71.49989464727273,6.366365720454546,103.55487459318182
std,38.78691682914592,33.88534286681149,50.699564322401166,5.077591834415286,22.725825712487534,0.6925766487462485,56.86517306081739
min,0.0,5.0,5.0,8.075202,14.000442,3.533839,20.476182
25%,18.0,25.0,20.0,22.282241499999998,60.48653625,5.95768575,63.182634500000006
50%,34.5,50.0,32.0,25.46356,80.39616699999999,6.37901,89.806302
75%,89.0,70.0,51.0,28.359401499999997,90.19519775,6.78814775,125.296271
max,140.0,145.0,208.0,43.832913,99.95713,9.916095,298.729173
